종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","60600","400","0.66","3.58730058E8"
"000660","SK하이닉스","278000","-7500","-2.63","2.02384657E8"
"207940","삼성바이오로직스","1006000","3000","0.30","7.1601044E7"
"373220","LG에너지솔루션","301000","3500","1.18","7.0434E7"
"005380","현대차","213500","3500","1.67","4.3715783E7"
"105560","KB금융","112600","1800","1.62","4.2952633E7"
"035420","NAVER","252000","-10000","-3.82","3.9926126E7"
"000270","기아","100000","1300","1.32","3.9767263E7"
"034020","두산에너빌리티","61800","-700","-1.12","3.9586679E7"
"012450","한화에어로스페이스","816000","-23000","-2.74","3.85937E7"
"068270","셀트리온","167200","6800","4.24","3.718962E7"
"329180","HD현대중공업","406500","-14000","-3.33","3.6086272E7"
"055550","신한지주","61500","-700","-1.13","3.0494287E7"
"028260","삼성물산","161900","-3500","-2.12","2.7519202E7"
"012330","현대모비스","297000","9000","3.13","2.7263143E7"
"035720","카카오","58900","-1200","-2.00","2.6020047E7"
"032830","삼성생명","126800","-3200","-2.46","2.536E7"
"009540","HD한국조선해양","343500","-21500","-5.89","2.4310565E7"
"086790","하나금융지주","85900","-3000","-3.37","2.4457782E7"
"011200","HMM","23300","0","0.00","2.388342E7"
"042660","한화오션","76700","-2100","-2.66","2.3501907E7"
"402340","SK스퀘어","176400","-8600","-4.65","2.3380207E7"
"005490","POSCO홀딩스","282000","6000","2.17","2.2823092E7"
"015760","한국전력","35950","-2000","-5.27","2.3078609E7"
"064350","현대로템","201500","500","0.25","2.1992172E7"
"196170","알테오젠","392500","20000","5.37","2.0985E7"
"138040","메리츠금융지주","116200","1100","0.96","2.0917682E7"
"000810","삼성화재","437500","-2000","-0.46","2.012988E7"
"096770","SK이노베이션","117800","-8700","-6.88","1.7791897E7"
"267260","HD현대일렉트릭","483500","-24500","-4.82","1.742879E7"
"051910","LG화학","240000","11000","4.80","1.6942162E7"
"259960","크래프톤","359000","-3000","-0.83","1.7013253E7"
"316140","우리금융지주","22350","-100","-0.45","1.659692E7"
"010130","고려아연","813000","4000","0.49","1.6278921E7"
"033780","KT&G","129500","2300","1.81","1.5807093E7"
"034730","SK","212000","-12000","-5.36","1.5370573E7"
"024110","기업은행","18490","20","0.11","1.4744404E7"
"010140","삼성중공업","16450","-330","-1.97","1.4476E7"
"323410","카카오뱅크","29700","-150","-0.50","1.4166586E7"
"006400","삼성SDI","178000","-200","-0.11","1.4344224E7"
"030200","KT","57000","-300","-0.52","1.4365236E7"
"003550","LG","82200","-800","-0.96","1.2926046E7"
"018260","삼성에스디에스","164900","-3500","-2.08","1.2759599E7"
"066570","LG전자","76100","700","0.93","1.2453599E7"
"352820","하이브","304000","-9500","-3.03","1.2662237E7"
"017670","SK텔레콤","57900","400","0.70","1.2436344E7"
"006800","미래에셋증권","21050","-600","-2.77","1.200516E7"
"079550","LIG넥스원","520000","-18000","-3.35","1.144E7"
"272210","한화시스템","55850","-2450","-4.20","1.0551148E7"
