stock_code,company_name,year,total_assets,total_assets_prev,capex,ocf,interest_paid,interest_expense,sales,net_income,cfcr,inv_rate,roa,size
005930,삼성전자,2024,514531948000000.0,455905980000000.0,51406355000000.0,72982621000000.0,675049000000.0,12985684000000.0,300870903000000.0,34451351000000.0,109.11455316577019,0.11275648325560458,0.06695668001552355,33.874278764512916
000660,SK하이닉스,2024,119855209000000.0,100330165000000.0,15945534000000.0,29795885000000.0,1276564000000.0,5707997000000.0,66192960000000.0,19796902000000.0,24.34069032183267,0.15893060676218362,0.16517348027819134,32.41730553852613
207940,삼성바이오로직스,2024,17336296349511.0,16046197209196.0,1303573257829.0,1659255402663.0,62086128444.0,260566824687.0,4547322176421.0,1083315885986.0,27.72505830605307,0.0812387658480184,0.06248831146778111,30.483823474473756
373220,LG에너지솔루션,2024,60306791000000.0,45437144000000.0,12399017000000.0,5111700000000.0,600569000000.0,1260579000000.0,25619585000000.0,1357343000000.0,9.51142832880152,0.2728828422842774,0.022507299385238388,31.730465833552678
005380,현대차,2024,339798429000000.0,282463355000000.0,8061333000000.0,-5661641000000.0,5932388000000.0,898551000000.0,175231153000000.0,,0.04563878829233691,0.028539394074675633,,33.459373701847866
105560,KB금융,2024,757845532000000.0,715725416000000.0,337178000000.0,,,17664671000000.0,,5078221000000.0,,0.0004710996598170268,0.006700865526775976,34.26150069716305
035420,NAVER,2024,38167876036020.0,35737826964395.0,553997155009.0,2589874337746.0,96195600801.0,578866062461.0,10737719264647.0,1931976372953.0,27.923001843958303,0.015501702315614716,0.0506178643823341,31.273015336286
000270,기아,2024,92755874000000.0,80627826000000.0,3485121000000.0,12564368000000.0,167854000000.0,609619000000.0,107448752000000.0,9775005000000.0,75.85295554469955,0.043224791897526794,0.10538421534360184,32.16099214694712
034020,두산에너빌리티,2024,26314835000000.0,24640834000000.0,461497000000.0,242204000000.0,383030000000.0,1337056000000.0,16233055000000.0,394689000000.0,1.6323368926715922,0.01872895211257866,0.014998726003792158,30.90115396452653
012450,한화에어로스페이스,2024,43336873685473.0,19542899925708.0,578204897971.0,1392972633695.0,255708791867.0,494883629643.0,,2539873460538.0,6.4474960501925835,0.029586443167034373,0.058607676201372916,31.400024974812716
068270,셀트리온,2024,21055222437706.0,19956813831274.0,135058628780.0,901870301325.0,75215089712.0,80272920461.0,3557303554371.0,422691724154.0,12.990550098102368,0.006767544655267155,0.02007538630401916,30.678169742089153
329180,HD현대중공업,2024,19390946750000.0,17133618109000.0,463463027000.0,,114764592000.0,3244079981000.0,14486453544000.0,621509420000.0,,0.027049921624934005,0.032051525282023687,30.595827410705926
055550,신한지주,2024,739764256000000.0,691795333000000.0,263836000000.0,,15218677000000.0,17807036000000.0,,4558170000000.0,,0.0003813786931112471,0.006161652125025083,34.23735267839864
028260,삼성물산,2024,61990426835548.0,66127029212679.0,1628126163713.0,3306879187574.0,220140010473.0,267653634612.0,,2772012091811.0,16.02170904993023,0.024621190201613168,0.04471677698178726,31.758001083173568
012330,현대모비스,2024,66596905000000.0,58585845000000.0,2204080000000.0,4252694000000.0,114390000000.0,486348000000.0,57236995000000.0,4060161000000.0,38.17714835212868,0.03762137424150834,0.06096621156793998,31.829679220923587
035720,카카오,2024,25773028304462.0,25179968939321.0,379616319229.0,1250459006332.0,202286465802.0,381480156915.0,7871692199887.0,55277416537.0,7.181624664677081,0.015076123411581805,0.002144777706523141,30.880349646473448
032830,삼성생명,2024,312218844000000.0,314655050000000.0,24855000000.0,,714854000000.0,1788350000000.0,,2260255000000.0,,7.899126360756009e-05,0.007239329218706607,33.37472548093276
009540,HD한국조선해양,2024,36719137422000.0,32242568184000.0,890989039000.0,,151631421000.0,5179027639000.0,25538577356000.0,1454580111000.0,,0.027633935172761546,0.03961367867341293,31.234319190718654
086790,하나금융지주,2024,637847513000000.0,591925995000000.0,2000280000000.0,-2451814000000.0,14633654000000.0,15355588000000.0,,,0.8324537398519878,0.0033792737891161547,,34.08912036286942
011200,HMM,2024,33848562000000.0,25713363000000.0,2536974000000.0,4874617000000.0,105830000000.0,1138471000000.0,11700224000000.0,3782169000000.0,47.06082396295946,0.09866364038029565,0.11173795211743412,31.152917632848276
042660,한화오션,2024,17843809161295.0,13944772692394.0,373640224794.0,-2904574465563.0,157846794510.0,1172189542295.0,10776004933627.0,528212898147.0,-17.40122553378167,0.02679428578981408,0.029602025743065353,30.512677738298496
402340,SK스퀘어,2024,21921051000000.0,17970008000000.0,39003000000.0,189954000000.0,8287000000.0,186963000000.0,1906611000000.0,3713971000000.0,23.921925908048753,0.0021704497849973133,0.1694248601492693,30.71846852393923
005490,POSCO홀딩스,2024,103404198997805.0,100945394185079.0,7669699522275.0,6663654759669.0,1028654317856.0,5080735126085.0,72688143160111.0,1094917125078.0,7.478031194734008,0.07597869703904409,0.010588710474912553,32.26966668644145
015760,한국전력,2024,246807795000000.0,239714965000000.0,14216037000000.0,15876116000000.0,4697442000000.0,4665095000000.0,93398896000000.0,3621968000000.0,4.37973646082272,0.059303919552957406,0.014675257724335651,33.13963099173978
064350,현대로템,2024,5285394740000.0,5241484775000.0,80999247000.0,142463409000.0,17094214000.0,51904505000.0,4376597857000.0,,9.334013426999334,0.01545349275578121,,29.295968423095413
196170,알테오젠,2024,409011974213.0,256099994583.0,2718373772.0,53044297258.0,,700930124.0,102854620800.0,62252318998.0,76.67701179012246,0.010614501481838167,0.15220170293982893,26.737010269365058
138040,메리츠금융지주,2024,115578247112858.0,102235842680189.0,72049160888.0,,1898346892337.0,1977306366199.0,46574506350960.0,2333433638351.0,,0.0007047348464019801,0.0201892111763253,32.38096888069572
000810,삼성화재,2024,87269492540789.0,85019029989421.0,59807154184.0,3127018161730.0,10132393107.0,457189081885.0,,,309.61595367531567,0.0007034560873188257,,32.10002206226836
096770,SK이노베이션,2024,110530097549000.0,80835513251000.0,10027893990000.0,2232521961000.0,1467038006000.0,6397890465000.0,74716970174000.0,0.0,2.5217887688452976,0.12405307502486783,0.0,32.336308975807796
267260,HD현대일렉트릭,2024,3795545096460.0,2910160077690.0,121640871886.0,1033722426199.0,26151969393.0,153021524690.0,3322349007529.0,501567028463.0,40.52751743720275,0.04179868757685487,0.13214624400874533,28.96484915189239
051910,LG화학,2024,93857762000000.0,77466694000000.0,14614863000000.0,7012339000000.0,939334000000.0,2714967000000.0,,1205865000000.0,8.465224297214835,0.18865995494786444,0.012847791959923357,32.172801581987535
259960,크래프톤,2024,7919463568015.0,6440456619598.0,20271799834.0,907928823450.0,8926210878.0,9457915752.0,2709774106588.0,1306089757323.0,102.7149197861467,0.0031475718309030894,0.16492149324330677,29.700344588149775
316140,우리금융지주,2024,525753320000000.0,498004936000000.0,221856000000.0,,12483982000000.0,13127005000000.0,,3171469000000.0,,0.00044548956036853416,0.0060322377041765515,33.89585324527982
010130,고려아연,2024,14792322181548.0,12046071311650.0,1113256029679.0,,79461110762.0,499129275883.0,,,,0.09241652326948684,,30.325129390573093
033780,KT&G,2024,13925237000000.0,12772452000000.0,767537000000.0,822275000000.0,43369000000.0,91635000000.0,,1165727000000.0,19.95997140814868,0.060093159872513124,0.08371326103821429,30.264723921345716
034730,SK,2024,214977754000000.0,206970264000000.0,15673489000000.0,8110330000000.0,3891755000000.0,10177513000000.0,124690439000000.0,,3.0839775371265663,0.07572821668720488,,33.0015556689354
024110,기업은행,2024,472219838000000.0,448427279000000.0,,,10869411000000.0,11062971000000.0,,,,,,33.78846575155687
010140,삼성중공업,2024,17194637128138.0,15593389152394.0,173394962279.0,654519940133.0,267181201482.0,361844306644.0,9903077919464.0,63876253559.0,3.4497230213147874,0.011119773936532538,0.003714893956934416,30.47561865625413
006400,삼성SDI,2024,40597344536357.0,34038860192967.0,6271319040013.0,-137613377776.0,324630847248.0,1602581639814.0,16592248884388.0,599289842809.0,0.5760927251904961,0.18423998349124393,0.014761799069697903,31.334723774888754
030200,KT,2024,41879957000000.0,42709982000000.0,,5065796000000.0,394162000000.0,994781000000.0,26431204000000.0,470286000000.0,13.852065901837316,,0.011229381157196508,31.365828475187282
